currency,date,time,bid,ask
EUR/USD,2015-01-01,21:43:43.275,1.21012,1.21045
EUR/USD,2015-01-01,21:44:15.699,1.21009,1.21048
EUR/USD,2015-01-01,21:45:17.733,1.2101,1.21048
EUR/USD,2015-01-01,21:45:39.506,1.2099,1.21048
EUR/USD,2015-01-01,21:45:50.332,1.20999,1.21039
EUR/USD,2015-01-01,21:46:41.008,1.21019,1.21048
EUR/USD,2015-01-01,21:46:41.108,1.20989,1.21049
EUR/USD,2015-01-01,21:46:41.207,1.21004,1.21063
EUR/USD,2015-01-01,21:46:41.307,1.21,1.21059
